,Year,Physics,Chemistry,Physiologyor Medicine,Literature,Peace,Economics(The Sveriges Riksbank Prize)
103,2005,Roy J. Glauber;John L. Hall;Theodor W. Hänsch,Yves Chauvin;Robert H. Grubbs;Richard R. Schrock,Barry Marshall;Robin Warren,Harold Pinter,International Atomic Energy Agency;Mohamed ElBaradei,Robert Aumann;Thomas Schelling
104,2006,John C. Mather;George Smoot,Roger D. Kornberg,Andrew Fire;Craig Mello,Orhan Pamuk,Muhammad Yunus;Grameen Bank,Edmund Phelps
105,2007,Albert Fert;Peter Grünberg,Gerhard Ertl,Mario Capecchi;Martin Evans;Oliver Smithies,Doris Lessing,Intergovernmental Panel on Climate Change;Al Gore,Leonid Hurwicz;Eric Maskin;Roger Myerson
106,2008,Yoichiro Nambu;Makoto Kobayashi;Toshihide Maskawa,Osamu Shimomura;Martin Chalfie;Roger Y. Tsien,Harald zur Hausen;Françoise Barré-Sinoussi;Luc Montagnier,J. M. G. Le Clézio,Martti Ahtisaari,Paul Krugman
107,2009,Charles K. Kao;Willard S. Boyle;George E. Smith,Venkatraman Ramakrishnan;Thomas A. Steitz;Ada Yonath,Elizabeth Blackburn;Carol W. Greider;Jack W. Szostak,Herta Müller,Barack  Obama,Elinor Ostrom;Oliver E. Williamson
108,2010,Andre Geim;Konstantin Novoselov,Richard F. Heck;Ei-ichi Negishi;Akira Suzuki,Robert G. Edwards,Mario Vargas Llosa,Liu Xiaobo [g],Peter A. Diamond;Dale T.  Mortensen;Christopher A.  Pissarides
109,2011,Saul Perlmutter;Adam G. Riess;Brian Schmidt,Dan Shechtman,Bruce Beutler;Jules A. Hoffmann;Ralph M.  Steinman,Tomas Tranströmer,Ellen Johnson Sirleaf;Leymah Gbowee;Tawakel Karman,Thomas J. Sargent;Christopher A. Sims
110,2012,Serge Haroche;David  J. Wineland,Brian K. Kobilka;Robert J. Lefkowitz,John B. Gurdon; Shinya Yamanaka,Mo Yan,European Union,Alvin E. Roth;Lloyd S. Shapley
111,2013,François Englert;Peter W. Higgs,Martin Karplus;Michael Levitt;Arieh Warshel,James E. Rothman;Randy W. Schekman;Thomas C. Südhof,Alice Munro,Organisation for the Prohibition of Chemical Weapons,Eugene F. Fama;Lars Peter Hansen;Robert J. Shiller
112,2014,Isamu Akasaki;Hiroshi Amano;Shuji Nakamura,Eric Betzig;Stefan Hell;William Moerner,John O'Keefe;May-Britt Moser;Edvard  Moser,Patrick Modiano,Kailash Satyarthi; Malala Yousafzai,Jean Tirole
113,2015,Takaaki Kajita;Arthur B. McDonald,Tomas Lindahl; Paul L. Modrich;Aziz Sancar,William C. Campbell;Satoshi Ōmura;Tu Youyou,Svetlana Alexievich,Tunisian National Dialogue Quartet,Angus Deaton
114,2016,David J. Thouless;Duncan Haldane;John M. Kosterlitz,Jean-Pierre Sauvage;Fraser Stoddart;Ben Feringa,Yoshinori Ohsumi,Bob Dylan,Juan Manuel Santos,Oliver Hart;Bengt R. Holmström
115,2017,Rainer Weiss;Barry Barish;Kip Thorne,Jacques Dubochet;Joachim Frank;Richard Henderson,Jeffrey C. Hall;Michael Rosbash;Michael W. Young,Kazuo Ishiguro,International Campaign to Abolish Nuclear Weapons,Richard Thaler
116,2018,Arthur Ashkin;Gérard Mourou;Donna Strickland,Frances H. Arnold;George P. Smith;Greg Winter,James P. Allison; Tasuku Honjo,Olga Tokarczuk [h],Denis Mukwege; Nadia Murad,William Nordhaus; Paul Romer
117,2019,James Peebles; Michel Mayor; Didier Queloz,John B. Goodenough;M. Stanley Whittingham;Akira Yoshino,William Kaelin Jr.;Peter J. Ratcliffe;Gregg L. Semenza,Peter Handke,Abiy Ahmed,Abhijit Banerjee;Esther Duflo;Michael Kremer
118,2020,Roger Penrose; Reinhard Genzel; Andrea M. Ghez,Emmanuelle Charpentier;Jennifer Doudna,Harvey J. Alter; Michael Houghton; Charles M. Rice,Louise Glück,World Food Programme,Paul R. Milgrom;Robert B. Wilson
119,2021,Syukuro Manabe; Klaus Hasselmann; Giorgio Parisi,Benjamin List; David MacMillan,David Julius; Ardem Patapoutian,Abdulrazak Gurnah,Maria Ressa; Dmitry Muratov,David Card;Joshua D. Angrist;Guido W. Imbens
120,Year,Physics,Chemistry,Physiologyor Medicine,Literature,Peace,Economics
